DID_CONVERGE,ROUND_NUM,NUM_PLAYERS,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,1,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,2,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,3,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,4,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,5,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,6,1,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,1,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,2,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,3,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,4,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,5,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,6,2,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,1,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,2,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,3,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,4,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,5,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,6,3,1,0,1,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,1,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,2,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,3,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,4,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
True,5,4,1,1,0,4,3
False,6,4,1,1,0,4,3
False,6,4,1,1,0,4,3
False,6,4,1,1,0,4,3
False,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,6,4,1,1,0,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
True,1,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,2,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,3,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
False,4,5,2,0,2,4,3
True,4,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
False,5,5,2,0,2,4,3
