DID_CONVERGE,META_DID_CONVERGE,META_PCT_CONVERGED,CLASS,META_CLASS,META_PCT_NONE,META_PCT_FAIR,META_PCT_PERFECT,SCORE,META_SCORE,ROUND_NUM,NUM_PLAYERS,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,7,1,7,2,1,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,8,1,8,2,2,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,9,1,9,3,0,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,10,1,10,3,1,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,11,1,11,3,2,1,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,12,1,12,3,3,0,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,13,1,13,4,1,3,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,14,1,14,4,2,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,14,1,14,4,2,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,14,1,14,4,2,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,14,1,14,4,2,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,14,1,14,4,2,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,14,1,14,4,2,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,14,1,14,4,2,2,4,3
True,ALL_CONVERGED,1.0,PERFECT,ALL_PERFECT,0.0,0.0,1.0,0,14,1,14,4,2,2,4,3
